seed,profile,mac_trials,gemm_trials,group_trials,exit_code,pass,fp8_mac_mean,fp4_mac_mean,fp8_gemm_mean,fp4_gemm_mean,group8_mean,group16_mean
100,baseline,300,20,200,0,1,0.00647001,0.0495924,0.0349617,0.248058,0.00695672,0.00625343
100,stress,1200,80,600,0,1,0.00680001,0.0452831,0.0349731,0.246401,0.0068534,0.00678437
101,baseline,300,20,200,0,1,0.00637653,0.0478575,0.0349841,0.243528,0.00724051,0.00651655
101,stress,1200,80,600,0,1,0.00666551,0.0463753,0.0351569,0.247324,0.00650157,0.00657485
102,baseline,300,20,200,0,1,0.00658091,0.0439046,0.0357319,0.242532,0.00676431,0.00664785
102,stress,1200,80,600,0,1,0.00691127,0.0477327,0.0352994,0.24767,0.00649166,0.00656326
103,baseline,300,20,200,0,1,0.00687024,0.0498876,0.0357255,0.249981,0.00703465,0.00703728
103,stress,1200,80,600,0,1,0.00688218,0.0454664,0.035032,0.247622,0.00682581,0.00664965
104,baseline,300,20,200,0,1,0.00741232,0.0480124,0.0351966,0.249958,0.00710569,0.00702458
104,stress,1200,80,600,0,1,0.00669604,0.0478253,0.0351398,0.245457,0.0066347,0.00673964
105,baseline,300,20,200,0,1,0.00682983,0.0479322,0.0349994,0.242266,0.00705341,0.00674155
105,stress,1200,80,600,0,1,0.00670665,0.0478312,0.0352666,0.242234,0.00671828,0.00654848
106,baseline,300,20,200,0,1,0.00668638,0.0490828,0.035078,0.241653,0.00661399,0.00645532
106,stress,1200,80,600,0,1,0.00672279,0.0480654,0.0352699,0.241772,0.00681009,0.00698883
107,baseline,300,20,200,0,1,0.00600596,0.0471971,0.0346201,0.248722,0.00683663,0.00657314
107,stress,1200,80,600,0,1,0.00670433,0.046484,0.0350607,0.246928,0.00668822,0.00678469
108,baseline,300,20,200,0,1,0.00679912,0.0499567,0.0351085,0.243588,0.00653768,0.00686482
108,stress,1200,80,600,0,1,0.00669216,0.0466883,0.0354866,0.246239,0.00675648,0.0071008
109,baseline,300,20,200,0,1,0.00679938,0.0457303,0.035159,0.249788,0.00728315,0.0071792
109,stress,1200,80,600,0,1,0.00654435,0.0473675,0.0357361,0.247044,0.00662173,0.00698226
110,baseline,300,20,200,0,1,0.00642218,0.0450911,0.0348498,0.245417,0.00663496,0.00634189
110,stress,1200,80,600,0,1,0.00664523,0.0470532,0.0350536,0.245022,0.00666094,0.00677925
111,baseline,300,20,200,0,1,0.00714605,0.0493368,0.0358756,0.244893,0.00698272,0.00699897
111,stress,1200,80,600,0,1,0.0069108,0.0483401,0.0350451,0.245097,0.00663195,0.00649511
112,baseline,300,20,200,0,1,0.0069517,0.0446166,0.0349907,0.245906,0.00808065,0.00649063
112,stress,1200,80,600,0,1,0.00656457,0.0471038,0.0356036,0.245879,0.00680233,0.00640881
113,baseline,300,20,200,0,1,0.00621098,0.0454744,0.0343838,0.245147,0.00653364,0.00676627
113,stress,1200,80,600,0,1,0.00649728,0.0497586,0.0351856,0.245793,0.00667844,0.00650844
114,baseline,300,20,200,0,1,0.00650082,0.0444304,0.0353366,0.243117,0.00730165,0.00613594
114,stress,1200,80,600,0,1,0.0069275,0.0467346,0.0347478,0.245737,0.00670453,0.00707184
115,baseline,300,20,200,0,1,0.00646336,0.0480985,0.0351865,0.238948,0.00784351,0.00692232
115,stress,1200,80,600,0,1,0.0066775,0.0479795,0.0354023,0.247488,0.00664967,0.00680145
116,baseline,300,20,200,0,1,0.0069539,0.0467565,0.0344226,0.242412,0.006746,0.00626396
116,stress,1200,80,600,0,1,0.00677419,0.0458031,0.0353751,0.248157,0.00639761,0.00664032
117,baseline,300,20,200,0,1,0.0073308,0.0455909,0.0357135,0.243511,0.00672911,0.0064681
117,stress,1200,80,600,0,1,0.00679149,0.0473507,0.0351299,0.2449,0.00650623,0.00685417
118,baseline,300,20,200,0,1,0.00729934,0.0470465,0.0352621,0.245027,0.00608324,0.0063818
118,stress,1200,80,600,0,1,0.00690589,0.0480228,0.0351272,0.249288,0.00662686,0.00692395
119,baseline,300,20,200,0,1,0.00670464,0.0479528,0.0359109,0.240564,0.00725417,0.00584532
119,stress,1200,80,600,0,1,0.00662756,0.0468368,0.0350712,0.246333,0.00638765,0.00679338
